company,contact,email,status
Superbalist,General Inquiries,e7dfb3d06f81ee547180b0944ad9e1b3@o21045.ingest.us.sentry.io,
Zando,General Inquiries,example@mail.com,
Bash (TFG),General Inquiries,example@mail.com,
Woolworths Fashion,General Inquiries,corporatesales@woolworths.co.za,
Woolworths Fashion,General Inquiries,shop@woolworths.co.za,
Woolworths Fashion,General Inquiries,rewards@woolworths.co.za,
Woolworths Fashion,General Inquiries,queries@wfs.co.za,
Woolworths Fashion,General Inquiries,wooliesdash@woolworths.co.za,
Woolworths Fashion,General Inquiries,custserv@woolworths.co.za,
Woolworths Fashion,General Inquiries,example@email.com,
Woolworths Fashion,General Inquiries,cliproofofincome@wfs.co.za,
Woolworths Fashion,General Inquiries,complaints@wfs.co.za,
Woolworths Fashion,General Inquiries,income@wfs.co.za,
Cape Union Mart,General Inquiries,u002fceba0741ae10acbd8730a9aedec43c89@o4505869138591744.ingest.us.sentry.io,
Under Armour SA,General Inquiries,16da6a372991891f2c78da45598697a6@o4507766185984000.ingest.de.sentry.io,
