company,contact,email,status
BP Southern Africa,General Inquiries,autoscan1@bp.com,
BP Southern Africa,General Inquiries,supportretail1@bp.com,
BP Southern Africa,General Inquiries,helpdeskmailbox@bp.com,
BP Southern Africa,General Inquiries,bpsasd@bp.com,
BP Southern Africa,General Inquiries,suzan.zungu@bp.com,
BP Southern Africa,General Inquiries,bpsaapmailbox@za.bp.com,
Engen,General Inquiries,info@engen.co.za,
Shell South Africa,General Inquiries,generalpublicenquiries-za@shell.com,
Sasol,General Inquiries,ntime@atisalubricants.co.za,
Sasol,General Inquiries,sales@oils.co.za,
Sasol,General Inquiries,hmadeira@pess.co.mz,
Sasol,General Inquiries,sfiso@vikelaenergy.co.za,
Sasol,General Inquiries,tswelelo.palai@petrohyper.com,
Sasol,General Inquiries,thulanm@roaderfuels.com,
Sasol,General Inquiries,jaco@globalmarine.com.na,
Sasol,General Inquiries,accounts@oilwarehouse.co.za,
Sasol,General Inquiries,tania@dreamconcepts.co.za,
Sasol,General Inquiries,mohamed@voomapetroleum.co.za,
Sasol,General Inquiries,aaron@oilwarehouse.co.za,
Sasol,General Inquiries,brandon@oilwarehouse.co.za,
Sasol,General Inquiries,gordon.ngwenya@siwenya.com,
Sasol,General Inquiries,gcina@bulldog.co.sz,
Sasol,General Inquiries,mark@savred.com,
Sasol,General Inquiries,mamahapelam@gmail.com,
Masana Petroleum Solutions,General Inquiries,hello@masana.co.za,
